field_path	type
addOns	array<union>
attributes	array<object>
availability	union
availableForWholesale	boolean
brand	string
bundleComponents	array<object>
bundleComponents[].notes	string
bundleComponents[].product	inline
bundleComponents[].quantity	number
bundleComponents[].title	string
canonicalUrl	string
category	array<object>
color	string
compareAtPrice	number
compatibleVehicles	array<object>
condition	union
coreRequired	boolean
customPaint	inline
description	array<union>
discountPercent	number
discountType	union
discountValue	number
displayTitle	string
featured	boolean
filters	array<object>
focusKeyword	string
googleProductCategory	union
gtin	string
images	array<object>
images[].alt	inline
images[].asset	inline
images[].crop	inline
images[].hotspot	inline
images[].media	unknown
importantNotes	array<object>
importantNotes[].children	array<object>
importantNotes[].children[].marks	array<string>
importantNotes[].children[].text	string
importantNotes[].level	number
importantNotes[].listItem	union
importantNotes[].markDefs	array<object>
importantNotes[].markDefs[].href	string
importantNotes[].style	union
includedInKit	array<object>
keyFeatures	array<object>
mailInServiceDetails	object
mailInServiceDetails.componentWeight	number
mailInServiceDetails.insuranceValue	number
mailInServiceDetails.recommendedPackaging	string
mailInServiceDetails.returnShippingIncluded	boolean
mailInServiceDetails.shippingInstructions	string
mailInServiceDetails.turnaroundTime	string
manualInventoryCount	number
manufacturingCost	number
marketingInsightsPanel	object
marketingInsightsPanel.placeholder	string
material	string
mediaAssets	array<object>
medusaProductId	string
medusaVariantId	string
merchantCenterStatus	object
merchantCenterStatus.isApproved	boolean
merchantCenterStatus.issues	array<object>
merchantCenterStatus.issues[].code	string
merchantCenterStatus.issues[].description	string
merchantCenterStatus.issues[].severity	string
merchantCenterStatus.lastSynced	string
merchantCenterStatus.needsCategory	boolean
merchantCenterStatus.needsGtin	boolean
merchantCenterStatus.needsMpn	boolean
metaDescription	string
metaTitle	string
minimumWholesaleQuantity	number
mpn	string
noindex	boolean
onSale	boolean
options	array<union>
price	number
priceCurrency	string
pricingTiers	array<object>
productType	union
promoCardShowPrice	boolean
promotionTagline	string
relatedProducts	array<object>
saleEndDate	string
saleLabel	union
salePrice	number
saleStartDate	string
serviceDeliverables	array<string>
serviceDeliveryModel	union
serviceDuration	string
serviceLaborNotes	string
serviceLocation	string
serviceSchedulingNotes	string
shippingConfig	object
shippingConfig.callForShippingQuote	boolean
shippingConfig.dimensions	object
shippingConfig.dimensions.height	number
shippingConfig.dimensions.length	number
shippingConfig.dimensions.width	number
shippingConfig.handlingTime	number
shippingConfig.requiresShipping	boolean
shippingConfig.separateShipment	boolean
shippingConfig.shippingClass	union
shippingConfig.weight	number
shippingLabel	string
shippingPreview	object
shippingPreview.placeholder	string
shortDescription	array<object>
shortDescription[].children	array<object>
shortDescription[].children[].marks	array<string>
shortDescription[].children[].text	string
shortDescription[].level	number
shortDescription[].listItem	union
shortDescription[].markDefs	array<object>
shortDescription[].markDefs[].href	string
shortDescription[].style	union
size	string
sku	string
slug	inline
socialImage	object
socialImage.alt	string
socialImage.asset	inline
socialImage.crop	inline
socialImage.hotspot	inline
socialImage.media	unknown
specialShippingNotes	string
specifications	array<object>
status	union
stripeActive	boolean
stripeDefaultPriceId	string
stripeLastSyncedAt	string
stripeMetadata	array<object>
stripePriceId	string
stripePrices	array<object>
stripeProductId	string
stripeUpdatedAt	string
structuredDataPreview	string
tags	array<string>
taxBehavior	union
title	string
trackInventory	boolean
tune	inline
upsellProducts	array<object>
variantStrategy	union
variationOptions	array<string>
wholesalePricePlatinum	number
wholesalePricePreferred	number
wholesalePriceStandard	number
wholesalePricingHelper	string
